"SWSN_ID","SWSN_Site","Macro","Micro","GKPM","GKPMPZ","Periods","EASTING","NORTHING","P1room","P2room","P3room","P4room","P5room","P6room","N0S1","P2CT","P2P1200","P2P1250","P2P1300","P2P1350","P2P1400","P7CT","P7P1200","P7P1250","P7P1300","P7P1350","P7P1400","P18CT","P18P1200","P18P1250","P18P1300","P18P1350","P18P1400"
648.00,"Pueblo Carrejo","Mogollon Highlands","Tularosa",0.00,0.00,2.00,715096,3761271,15.03,13.55,0.00,0.00,0.00,0.00,0,1.00,26.00,18.00,0.00,0.00,0.00,10.00,458.00,294.00,0.00,0.00,0.00,29.00,1456.00,1386.00,0.00,0.00,0.00
649.00,"LA 6063","Mogollon Highlands","Tularosa",0.00,0.00,2.00,718913,3762229,19.15,17.26,0.00,0.00,0.00,0.00,0,1.00,32.00,22.00,0.00,0.00,0.00,8.00,336.00,270.00,0.00,0.00,0.00,27.00,1373.00,1352.00,0.00,0.00,0.00
652.00,"LA 8090","Mogollon Highlands","Tularosa",0.00,1.00,2.00,723763,3750704,17.50,22.17,0.00,0.00,0.00,0.00,0,1.00,0.00,58.00,0.00,0.00,0.00,7.00,296.00,404.00,0.00,0.00,0.00,22.00,1372.00,1145.00,0.00,0.00,0.00
654.00,"Higgins Flat","Mogollon Highlands","San Francisco",1.00,1.00,2.00,707640,3737430,25.93,24.98,0.00,0.00,0.00,0.00,0,4.00,86.00,154.00,0.00,0.00,0.00,6.00,222.00,290.00,56.00,0.00,0.00,16.00,1026.00,716.00,56.00,0.00,0.00
655.00,"LA 8099","Mogollon Highlands","Tularosa",99.00,99.00,1.00,720930,3747626,0.00,17.57,0.00,0.00,0.00,0.00,0,3.00,120.00,53.00,0.00,0.00,0.00,10.00,799.00,732.00,0.00,0.00,0.00,23.00,1261.00,1099.00,0.00,0.00,0.00
658.00,"Hudson Ranch","Mogollon Highlands","San Francisco",1.00,1.00,3.00,706302,3734110,36.85,41.47,37.55,0.00,0.00,0.00,0,1.00,56.00,80.00,56.00,0.00,0.00,8.00,267.00,335.00,56.00,0.00,0.00,13.00,906.00,663.00,56.00,0.00,0.00
659.00,"LA 83287","Mogollon Highlands","Tularosa",0.00,0.00,2.00,715530,3767520,14.50,18.38,0.00,0.00,0.00,0.00,0,1.00,32.00,22.00,0.00,0.00,0.00,7.00,418.00,353.00,0.00,0.00,0.00,19.00,1042.00,948.00,0.00,0.00,0.00
661.00,"LA 85442","Mogollon Highlands","San Francisco",0.00,0.00,2.00,700719,3731245,11.39,14.43,0.00,0.00,0.00,0.00,0,1.00,16.00,24.00,0.00,0.00,0.00,2.00,72.00,104.00,56.00,0.00,0.00,12.00,448.00,504.00,266.00,0.00,0.00
664.00,"LA 3262","Mogollon Highlands","Tularosa",99.00,99.00,1.00,720900,3746890,0.00,12.23,0.00,0.00,0.00,0.00,0,3.00,120.00,53.00,0.00,0.00,0.00,9.00,679.00,649.00,0.00,0.00,0.00,23.00,1261.00,1099.00,0.00,0.00,0.00
665.00,"Aragon","Mogollon Highlands","Tularosa",1.00,1.00,2.00,726580,3751460,58.18,52.46,0.00,0.00,0.00,0.00,0,2.00,120.00,293.00,0.00,0.00,0.00,5.00,176.00,383.00,0.00,0.00,0.00,21.00,1271.00,1075.00,0.00,0.00,0.00
668.00,"TJ Ruin","Mogollon Highlands","Gila Cliff Dwellings",1.00,1.00,3.00,757330,3679030,0.00,39.31,119.55,125.25,0.00,0.00,0,1.00,0.00,196.00,280.00,196.00,0.00,3.00,98.00,400.00,280.00,196.00,0.00,3.00,98.00,400.00,280.00,196.00,0.00
669.00,"Gila Cliff Dwellings","Mogollon Highlands","Gila Cliff Dwellings",0.00,0.00,2.00,754600,3679610,0.00,29.37,16.32,0.00,0.00,0.00,0,1.00,0.00,64.00,0.00,0.00,0.00,3.00,98.00,400.00,280.00,196.00,0.00,3.00,98.00,400.00,280.00,196.00,0.00
670.00,"3-Up","Upper Gila","San Francisco",0.00,0.00,5.00,688326,3664911,285.14,278.00,267.72,252.45,234.08,0.00,1,1.00,330.00,420.00,600.00,600.00,420.00,1.00,330.00,420.00,600.00,600.00,420.00,2.00,410.00,420.00,600.00,600.00,420.00
683.00,"Babocomari Village","Chihuahuan Lowlands","Babocomari",0.00,0.00,5.00,560192,3499221,24.14,34.55,40.12,41.30,36.76,0.00,1,1.00,0.00,0.00,56.00,80.00,0.00,1.00,0.00,0.00,56.00,80.00,0.00,3.00,0.00,56.00,174.00,136.00,0.00
684.00,"Hereford","Chihuahuan Lowlands","Babocomari",0.00,0.00,3.00,585232,3483019,0.00,28.50,39.84,38.38,0.00,0.00,1,1.00,0.00,56.00,80.00,56.00,0.00,1.00,0.00,56.00,80.00,56.00,0.00,2.00,0.00,266.00,380.00,266.00,0.00
688.00,"NA 5653","Kayenta/Tusayan","White Mesa",0.00,0.00,1.00,516449,4053334,0.00,28.80,0.00,0.00,0.00,0.00,0,3.00,0.00,49.00,0.00,0.00,0.00,7.00,88.00,159.00,0.00,0.00,0.00,11.00,116.00,267.00,0.00,0.00,0.00
708.00,"Aztec","Middle San Juan","Animas",1.00,1.00,2.00,767734,4080587,331.94,183.97,0.00,0.00,0.00,0.00,0,7.00,585.00,600.00,0.00,0.00,0.00,8.00,1035.00,915.00,0.00,0.00,0.00,11.00,1130.00,1330.00,0.00,0.00,0.00
719.00,"Maddox Ranch","Chihuahuan Lowlands","Boot Heel",0.00,1.00,4.00,706340,3511400,98.83,144.09,160.12,144.36,0.00,0.00,1,1.00,166.00,210.00,300.00,210.00,0.00,2.00,166.00,210.00,600.00,210.00,0.00,8.00,166.00,537.00,1268.00,539.00,0.00
721.00,"Pendleton","Chihuahuan Lowlands","Boot Heel",0.00,1.00,2.00,697870,3476610,0.00,81.78,99.97,0.00,0.00,0.00,1,2.00,0.00,80.00,158.00,0.00,0.00,3.00,0.00,80.00,278.00,0.00,0.00,5.00,0.00,277.00,560.00,50.00,0.00
724.00,"Animas River Ruin","Middle San Juan","Animas",0.00,0.00,2.00,768020,4080430,20.40,25.84,0.00,0.00,0.00,0.00,0,7.00,585.00,600.00,0.00,0.00,0.00,8.00,1035.00,915.00,0.00,0.00,0.00,11.00,1130.00,1330.00,0.00,0.00,0.00
728.00,"Holmes Group","Middle San Juan","La Plata",1.00,1.00,1.00,751500,4090300,275.12,0.00,0.00,0.00,0.00,0.00,0,1.00,300.00,0.00,0.00,0.00,0.00,4.00,637.00,466.00,0.00,0.00,0.00,10.00,913.00,1008.00,28.00,0.00,0.00
730.00,"Flora Vista","Middle San Juan","Animas",1.00,1.00,2.00,760093,4075020,35.78,100.81,0.00,0.00,0.00,0.00,0,1.00,0.00,240.00,0.00,0.00,0.00,2.00,450.00,555.00,0.00,0.00,0.00,19.00,1880.00,1830.00,52.00,0.00,0.00
